,City,Temperature,Humidity,Longitude,Latitude,Cloudiness,Country,Windspeed,Date
166,tucuman,64.4,72,-65.2226,-26.8241,92,AR,5.75,1651877188
167,tombouctou,89.85,15,-3.0,20.0,14,ML,7.29,1651877189
168,hermanus,55.8,86,19.2345,-34.4187,100,ZA,9.31,1651877190
169,thompson,66.36,42,-97.8558,55.7435,75,CA,12.66,1651877190
170,clyde river,14.23,92,-68.5914,70.4692,0,CA,8.05,1651876929
171,denpasar,79.72,88,115.2167,-8.65,20,ID,4.61,1651877091
172,banov,55.26,91,17.7175,48.988,100,CZ,4.0,1651877192
173,kyabe,82.87,62,18.9449,9.4515,100,TD,6.35,1651877193
174,berlevag,39.0,90,29.0864,70.8578,100,NO,8.23,1651877193
175,tubuala,79.57,82,-79.0333,9.5167,100,PA,11.54,1651877194
176,montepuez,65.77,96,38.9997,-13.1256,85,MZ,3.83,1651877198
177,rocha,55.89,89,-54.3333,-34.4833,2,UY,1.05,1651877189
178,alta floresta,74.77,87,-56.0861,-9.8756,56,BR,2.48,1651877199
179,new norfolk,48.2,77,147.0587,-42.7826,100,AU,3.0,1651877200
180,portobelo,78.75,80,-79.65,9.55,100,PA,5.48,1651877201
181,pryozerne,50.27,67,36.3303,45.2698,100,UA,20.47,1651877201
182,oranjemund,56.98,95,16.4333,-28.55,81,NA,7.23,1651877201
183,kushmurun,38.88,47,64.6311,52.4503,26,KZ,7.45,1651877203
184,la sarre,48.61,37,-79.1996,48.8002,0,CA,6.73,1651877203
185,takoradi,76.3,84,-1.7554,4.8845,100,GH,7.54,1651877204
186,namanga,65.34,82,36.7905,-2.5433,99,KE,2.75,1651877205
187,nilagiri,79.63,80,86.7722,21.4582,0,IN,5.21,1651877206
188,poya,78.4,64,165.15,-21.35,0,NC,5.68,1651877207
189,tiksi,18.7,86,128.8694,71.6872,98,RU,22.17,1651877207
190,russell,80.19,46,-85.1999,32.3502,20,US,19.57,1651877208
191,te anau,58.32,82,167.7167,-45.4167,97,NZ,4.79,1651877209
192,mar del plata,59.23,92,-57.5575,-38.0023,42,AR,2.3,1651877210
193,faya,63.12,62,42.4509,18.3851,5,SA,2.06,1651877210
194,north vanlaiphai,57.56,97,93.0667,23.1333,17,IN,2.57,1651877211
195,almora,58.8,52,79.6667,29.6167,0,IN,1.48,1651877212
196,arraial do cabo,73.26,73,-42.0278,-22.9661,0,BR,16.11,1651877213
197,narrabri,41.09,93,149.7833,-30.3167,87,AU,4.61,1651877213
198,gubkinskiy,16.9,85,76.5026,64.434,100,RU,27.16,1651877214
199,saldanha,55.45,84,17.9442,-33.0117,55,ZA,18.77,1651877215
200,atasu,53.78,46,71.6433,48.6814,38,KZ,15.52,1651877215
201,natal,79.02,89,-35.2094,-5.795,0,BR,4.61,1651877162
202,barrow,19.42,93,-156.7887,71.2906,100,US,13.8,1651877149
203,opuwo,61.74,41,13.84,-18.0607,0,NA,2.95,1651877217
204,woodward,83.19,30,-99.3904,36.4337,0,US,9.22,1651877217
205,bang len,78.75,88,100.1718,14.0219,100,TH,3.56,1651877218
206,bluff,57.79,81,168.3333,-46.6,99,NZ,9.69,1651877219
207,tulsipur,72.3,58,82.2973,28.131,1,NP,4.14,1651877220
208,gamba,77.49,92,10.0,-2.65,100,GA,6.22,1651877221
209,augusto correa,75.42,93,-46.635,-1.0217,58,BR,4.25,1651877221
210,forio,61.0,88,13.8646,40.7342,91,IT,11.99,1651877222
211,hasaki,64.8,81,140.8333,35.7333,99,JP,12.3,1651877223
212,adrar,84.16,14,-10.0711,20.5022,3,MR,9.17,1651877223
213,sain alto,86.76,11,-103.25,23.5833,38,MX,11.65,1651877225
214,camacha,62.02,68,-16.3333,33.0833,20,PT,4.61,1651877225
215,salvador,80.55,75,-88.9167,13.8333,78,SV,4.45,1651877165
216,kailua,76.03,77,-157.7394,21.4022,100,US,13.8,1651876948
217,pout,75.96,60,-17.0603,14.7739,0,SN,19.57,1651877227
218,lebu,52.93,92,-73.65,-37.6167,70,CL,8.21,1651877228
219,hualmay,66.18,84,-77.6139,-11.0964,7,PE,10.33,1651877192
220,huescar,53.26,45,-2.5412,37.811,0,ES,2.66,1651877229
221,boffa,79.5,73,-14.0333,10.1667,21,GN,4.21,1651877230
222,kumbo,60.71,91,10.6667,6.2,100,CM,2.91,1651877231
223,dengzhou,52.43,75,120.7508,37.8086,87,CN,11.25,1651877231
224,araceli,84.79,75,119.9913,10.5529,25,PH,14.88,1651877232
225,rawatsar,84.94,24,74.3833,29.2833,0,IN,5.91,1651877233
226,peniche,55.69,93,-9.3811,39.3558,84,PT,5.28,1651877234
227,severo-kurilsk,42.48,85,156.125,50.6789,78,RU,8.03,1651877235
228,komsomolets,36.12,52,62.0708,53.7453,0,KZ,7.16,1651877236
229,upernavik,10.04,84,-56.1549,72.7868,1,GL,6.15,1651877237
230,arman,34.02,96,150.1667,59.7,100,RU,9.82,1651877238
231,pontes e lacerda,69.21,63,-59.3353,-15.2261,0,BR,4.07,1651877238
232,kiunga,79.7,89,141.2906,-6.1219,51,PG,2.39,1651877239
233,pierre,75.85,44,-100.351,44.3683,0,US,21.85,1651877240
234,antofagasta,61.88,87,-70.4,-23.65,92,CL,4.56,1651876954
235,tura,70.59,83,90.2201,25.5198,5,IN,3.2,1651877241
236,sokoto,90.66,41,5.239,13.0609,100,NG,14.99,1651877241
237,zaraza,78.91,64,-65.3245,9.3503,100,VE,2.57,1651877242
238,rio gallegos,48.25,71,-69.2181,-51.6226,0,AR,24.16,1651877243
239,port lincoln,54.43,67,135.8667,-34.7333,25,AU,7.45,1651877243
240,itarema,76.39,89,-39.9167,-2.9248,99,BR,14.16,1651877220
241,mount gambier,49.91,93,140.7667,-37.8333,75,AU,9.22,1651877245
242,xichang,58.89,77,102.2634,27.8964,12,CN,1.7,1651877245
243,limoges,55.96,67,1.3333,45.75,0,FR,6.91,1651877246
244,sorong,79.75,86,131.25,-0.8833,95,ID,5.93,1651877247
245,bone,47.64,83,12.1396,51.9669,64,DE,3.56,1651877248
246,praia,73.94,73,-23.5087,14.9215,0,CV,11.5,1651877248
247,salalah,82.49,83,54.0924,17.0151,75,OM,3.44,1651877249
248,ostersund,48.65,66,14.6357,63.1792,100,SE,10.36,1651877250
249,whitewater,59.72,48,-88.7323,42.8336,100,US,13.11,1651877251
250,misawa,64.81,59,141.3597,40.6836,20,JP,5.95,1651877059
251,sobolevo,44.83,77,31.8996,54.4299,100,RU,8.08,1651877252
252,adre,82.92,14,22.2,13.4667,72,TD,13.4,1651877252
253,sur,82.0,64,59.5289,22.5667,0,OM,10.18,1651877253
254,lancaster,49.96,95,-76.2499,40.2504,100,US,16.11,1651877254
255,baghdad,64.31,42,44.4009,33.3406,1,IQ,0.0,1651877213
256,svetlaya,49.15,58,138.3297,46.5389,100,RU,2.3,1651877255
257,yerofey pavlovich,44.8,36,121.9667,53.9667,72,RU,8.97,1651877255
258,fayaoue,77.99,68,166.5333,-20.65,0,NC,23.13,1651877256
259,jinka,61.16,91,36.65,5.65,62,ET,3.0,1651877257
260,tighina,48.97,55,29.4711,46.8306,8,MD,2.71,1651877258
261,north bend,59.74,85,-124.2243,43.4065,100,US,27.63,1651877117
262,constitucion,55.87,79,-72.4167,-35.3333,1,CL,12.06,1651877259
263,yumen,55.11,15,97.2,40.2833,100,CN,6.62,1651877260
264,vagamo,42.31,91,9.0967,61.8751,100,NO,5.53,1651877108
265,bathsheba,81.21,78,-59.5167,13.2167,20,BB,14.97,1651877261
266,seoul,59.2,88,126.9778,37.5683,75,KR,10.36,1651876975
267,domoni,78.28,82,44.5319,-12.2569,62,KM,7.2,1651877263
268,partizanskoye,51.3,57,94.39,55.5006,28,RU,15.48,1651877264
269,sydney,53.19,64,151.2073,-33.8679,0,AU,10.36,1651877080
270,verkhnyaya inta,21.36,82,60.3094,65.9811,47,RU,7.2,1651877265
271,dicabisagan,82.13,77,122.4157,17.0818,10,PH,1.95,1651877266
272,ilhabela,67.53,78,-45.3581,-23.7781,12,BR,5.32,1651877268
273,chirilagua,83.89,76,-88.1386,13.2203,99,SV,2.91,1651877268
274,guerrero negro,69.21,62,-114.0611,27.9769,3,MX,18.57,1651877270
275,amuntai,75.0,96,115.2494,-2.4177,91,ID,1.74,1651877270
276,funtua,81.23,54,7.3081,11.5233,100,NG,12.19,1651877271
277,buchanan,77.67,82,-10.0467,5.8808,94,LR,1.16,1651877272
278,katsuura,64.42,80,140.3,35.1333,99,JP,15.86,1651877273
279,pisco,69.85,73,-76.2167,-13.7,0,PE,14.97,1651877112
280,nalut,64.44,55,10.85,30.3333,0,LY,12.5,1651877274
281,ostrovnoy,36.09,90,39.5131,68.0531,100,RU,17.36,1651877274
282,faanui,81.59,73,-151.75,-16.4833,2,PF,4.23,1651877275
283,wuwei,55.47,41,102.6414,37.9281,47,CN,5.26,1651877276
284,mareeba,75.45,87,145.4333,-17.0,93,AU,3.98,1651877276
285,bara,85.32,50,10.7288,10.3744,91,NG,10.09,1651877277
286,mudanjiang,47.21,49,129.6,44.5833,7,CN,18.23,1651877278
287,itoman,75.04,96,127.6694,26.1247,75,JP,10.36,1651877279
288,jauja,51.57,76,-75.4966,-11.7758,88,PE,5.84,1651877279
289,yenagoa,75.65,90,6.2642,4.9247,100,NG,2.55,1651877280
290,dalvik,39.13,76,-18.5286,65.9702,60,IS,14.56,1651877281
291,araguaina,79.16,71,-48.2072,-7.1911,58,BR,1.81,1651877282
292,novyy urengoy,12.72,96,76.6333,66.0833,99,RU,15.5,1651877282
293,kodinsk,39.02,80,99.1844,58.6881,13,RU,4.25,1651877283
294,aksha,42.49,27,113.2867,50.2814,66,RU,8.1,1651877284
295,churachandpur,61.95,98,93.6667,24.3333,26,IN,1.95,1651877284
296,vestmannaeyjar,41.23,64,-20.2734,63.4427,60,IS,14.41,1651877285
297,nkhata bay,69.75,78,34.2907,-11.6066,67,MW,4.14,1651877286
298,kholmogory,35.62,97,41.656,64.2229,51,RU,5.26,1651877287
299,catamarca,63.59,61,-65.7852,-28.4696,100,AR,3.04,1651877164
300,windsor,59.38,67,-83.0165,42.3001,100,CA,14.97,1651877119
301,sabzevar,74.32,35,57.6819,36.2126,64,IR,6.98,1651877288
302,norman wells,42.84,52,-126.8329,65.282,100,CA,6.91,1651877289
303,marzuq,73.78,29,46.4667,14.4,0,YE,6.55,1651877031
304,caravelas,75.25,87,-39.2481,-17.7125,64,BR,2.66,1651877290
305,boende,70.05,98,20.8667,-0.2167,100,CD,1.19,1651877291
306,ajdabiya,77.22,22,20.2263,30.7554,73,LY,22.06,1651877292
307,araouane,92.79,15,-3.5265,18.9048,33,ML,8.81,1651877292
308,taywarah,53.01,36,64.4167,33.35,1,AF,3.85,1651877293
309,havelock,76.26,79,-76.9013,34.8791,40,US,17.27,1651877294
310,guican,51.91,96,-72.4113,6.4618,96,CO,1.1,1651877295
311,kamaishi,58.89,75,141.8833,39.2667,17,JP,12.55,1651877295
312,batemans bay,50.09,49,150.1833,-35.7167,86,AU,6.4,1651877296
313,fare,81.61,74,-151.0167,-16.7,0,PF,4.9,1651877297
314,ingham,60.06,47,-84.3833,42.6,75,US,13.8,1651877297
315,angatuba,57.6,87,-48.4128,-23.4897,10,BR,11.41,1651877298
316,diban,62.24,51,40.5167,35.0365,76,SY,5.06,1651877299
317,abrau-dyurso,45.86,71,37.59,44.69,100,RU,27.34,1651877300
318,robertsport,81.86,85,-11.3686,6.7533,97,LR,5.79,1651877301
319,rawson,60.39,60,-65.1023,-43.3002,91,AR,17.45,1651877301
320,lakes entrance,55.17,54,147.981,-37.8811,88,AU,19.75,1651877302
321,scarborough,52.86,90,-0.4044,54.2797,98,GB,5.23,1651877303
322,diffa,88.54,29,12.6113,13.3154,89,NE,6.22,1651877303
323,muros,56.68,73,-9.0603,42.7762,52,ES,9.57,1651877304
324,belaya gora,27.93,92,146.4167,68.5333,95,RU,1.32,1651877305
325,naze,72.52,82,129.4833,28.3667,98,JP,10.6,1651877197
326,vila velha,76.95,73,-40.2925,-20.3297,75,BR,11.5,1651877306
327,valverde del camino,70.03,49,-6.7543,37.5751,94,ES,6.2,1651877307
328,tuatapere,59.9,81,167.6833,-46.1333,100,NZ,6.93,1651877307
329,hay river,42.78,70,-115.7999,60.8156,100,CA,11.5,1651877105
330,mount darwin,64.81,73,31.5838,-16.7725,68,ZW,2.33,1651877308
331,victoria,76.1,84,114.1577,22.2855,100,HK,8.16,1651877145
332,bonthe,80.55,85,-12.505,7.5264,27,SL,6.22,1651877310
333,nishihara,73.92,97,127.7558,26.1842,100,JP,10.36,1651877310
334,sainte-maxime,57.72,76,6.6333,43.3,100,FR,5.66,1651877311
335,anadyr,32.0,86,177.4833,64.75,75,RU,11.18,1651877312
336,tungor,32.9,88,142.9564,53.3808,81,RU,20.07,1651877313
337,khvorostyanka,39.11,55,48.9597,52.6096,0,RU,3.67,1651877313
338,saint-joseph,70.18,77,55.6167,-21.3667,36,RE,14.09,1651877314
339,wau,76.66,70,27.9953,7.7029,100,SS,4.56,1651877315
340,mount isa,62.37,34,139.5,-20.7333,0,AU,11.5,1651877316
341,port augusta,53.28,66,137.7667,-32.5,4,AU,1.39,1651877316
342,praia da vitoria,61.05,94,-27.0667,38.7333,20,PT,7.0,1651877317
343,andrid,53.69,78,22.35,47.5167,92,RO,4.83,1651877318
344,terrace,53.51,46,-128.6035,54.5163,75,CA,11.5,1651877318
345,tete,67.6,75,33.5867,-16.1564,2,MZ,3.27,1651877319
346,bandarbeyla,81.0,90,50.8122,9.4942,40,SO,8.12,1651877320
347,roald,43.54,75,6.1333,62.5833,75,NO,12.66,1651877321
348,hervey bay,73.89,82,152.8535,-25.2986,98,AU,6.62,1651877321
349,willowmore,54.23,78,23.4895,-33.2926,100,ZA,5.35,1651877322
350,lithakia,54.77,81,20.8333,37.7167,31,GR,4.5,1651877323
351,kashi,69.01,42,75.9797,39.4547,75,CN,11.18,1651877324
352,waingapu,80.04,81,120.2641,-9.6567,59,ID,7.38,1651877325
353,necochea,57.09,75,-58.7368,-38.5473,23,AR,5.03,1651877195
354,atambua,75.52,82,124.8925,-9.1061,42,ID,4.59,1651877326
355,anton lizardo,91.22,76,-95.9833,19.05,44,MX,13.38,1651877328
356,yermish,38.26,68,42.2711,54.7678,17,RU,7.43,1651877329
357,atherton,53.26,95,-2.4935,53.5237,100,GB,5.01,1651877330
358,port-gentil,82.36,89,8.7815,-0.7193,75,GA,6.91,1651877330
359,morehead,60.21,88,-87.1764,37.2711,100,US,12.66,1651877331
360,kalakamati,60.19,45,27.3121,-20.5929,2,BW,5.95,1651877332
361,zhangjiakou,50.27,21,114.8794,40.81,99,CN,5.39,1651877333
362,dudinka,1.6,100,86.1778,69.4058,99,RU,4.16,1651877334
363,terenos,71.31,64,-54.8603,-20.4422,0,BR,8.05,1651877335
364,itaituba,78.66,84,-55.9836,-4.2761,95,BR,1.72,1651877336
365,fuerte olimpo,69.13,58,-57.8738,-21.0415,0,PY,5.17,1651877337
366,cacequi,58.42,86,-54.825,-29.8836,100,BR,5.14,1651877338
